Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-05-23,16.73620866,17.19551799,16.60802427,17.12827301,584897600,0.02410679,0.07302414,0.04385248,0.02416111,0.06307076,45.05698416,-0.28315004,-0.28913012,0.00598008,20.18694735,0.85885100,-0.02400289,0
2012-05-24,17.28768003,17.30659353,16.84818520,16.97096825,496230000,-0.00922636,0.00717168,0.06428810,0.02432564,-0.01685269,50.03413111,-0.24750676,-0.28080545,0.03329869,20.02255009,-0.00566303,-0.02126727,0
2012-05-25,16.94905957,16.98688498,16.76533544,16.88001251,328507200,-0.00537390,0.00950653,0.05842388,0.02429419,-0.05163996,46.45358643,-0.22401625,-0.26944761,0.04543136,19.61006931,-2.23279686,-0.01851810,1
2012-05-29,17.13848090,17.23154297,16.97066906,17.17960739,380508800,0.01759283,0.00299257,0.01939061,0.02435356,0.30295842,51.85813522,-0.17915981,-0.25139005,0.07223024,19.75701986,-1.17639957,-0.01500368,1
2012-05-30,17.08745245,17.41136934,17.00819912,17.38675308,529429600,0.01198554,0.02420447,0.03908489,0.02415172,0.54771559,54.30799664,-0.12544973,-0.22620199,0.10075226,20.08731076,0.42326381,-0.01012787,0
2012-05-31,17.43388204,17.45669785,17.15529699,17.34352303,491674400,-0.00248948,0.02708889,0.01248863,0.02353032,0.53347711,53.10646757,-0.08538810,-0.19803921,0.11265111,20.01332727,-0.02420002,-0.00377796,0
2012-06-01,17.08625103,17.19102164,16.82687768,16.84098625,520987600,-0.02940355,-0.01990749,-0.00768856,0.02348735,-0.02641011,47.78255492,-0.09311611,-0.17705459,0.08393848,20.07123680,0.33463492,0.00356511,1
2012-06-04,16.85629489,17.03641490,16.46603408,16.94005013,556995600,0.00586508,-0.02602795,0.00355042,0.02341729,0.09937040,52.45174373,-0.09020713,-0.15968510,0.06947797,20.13806790,0.80389541,0.00968846,0
2012-06-05,16.84939412,17.00549912,16.76113534,16.89622498,388214400,-0.00259043,-0.02612890,-0.01663284,0.01534363,0.05754197,54.01841381,-0.09039604,-0.14582729,0.05543125,19.77706832,-1.29365190,0.01056269,1
2012-06-06,17.04451588,17.22703749,16.97636988,17.15529060,401455600,0.01521639,0.01849104,-0.01340198,0.01572597,0.37551020,60.42381886,-0.06884768,-0.13043136,0.06158368,19.81060750,-0.98863211,0.01284822,1
2012-06-07,17.33031539,17.33121481,17.12647852,17.16310310,379766800,0.00045530,0.01308126,-0.01045721,0.01378556,0.37798208,69.61528840,-0.05055726,-0.11445654,0.06389928,19.75506794,-1.16065518,0.01282575,1
