Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target,target_z
2020-03-19,59.88977664,61.20914727,58.73260352,59.25793076,271857200,-0.00769142,0.01055492,-0.01399594,0.07812728,-0.77087754,43.66129403,-3.73456173,-2.81210257,-0.92245915,19.42078749,-0.25901496,-0.05294957,0,0
2020-03-20,59.83891879,60.96462285,55.19570308,55.49589157,401693200,-0.06559063,-0.09806663,-0.19274393,0.07951965,-0.99653617,33.86068020,-4.13851338,-3.07738473,-1.06112865,19.81119917,1.63017247,-0.06030349,0,0
2020-03-23,55.21507498,55.31675084,51.46999751,54.31693268,336752800,-0.02147298,-0.09475503,-0.07650869,0.07676462,-0.94897236,34.60240419,-4.50188518,-3.36228482,-1.13960036,19.63485969,0.53982969,-0.06294382,1,1
2020-03-24,57.21956083,59.96240110,56.72086327,59.76631165,287531200,0.09560614,0.00854253,-0.02393347,0.08038912,-0.43250560,37.30453953,-4.30056636,-3.54994113,-0.75062523,19.47684193,-0.65232118,-0.07010180,0,0
2020-03-25,60.70318010,62.51882855,59.14172316,59.43706894,303602000,-0.00552406,0.06860910,-0.00467295,0.08008147,-0.41649663,38.79643077,-4.12009301,-3.66397151,-0.45612150,19.53122819,-0.28385404,-0.07311646,1,1
2020-03-26,59.67915309,62.62292153,59.64041837,62.56482315,252087200,0.05128510,0.14136718,0.05430357,0.07505198,-0.12830893,43.06569463,-3.68223642,-3.66762449,-0.01461193,19.34528562,-1.55407806,-0.06661449,0,0
2020-03-27,61.18735054,61.94265909,59.80745851,59.97449875,204216800,-0.04228374,0.00347730,0.07761046,0.06541782,-0.32467532,45.57841095,-3.50385915,-3.63487142,0.13101227,19.13469273,-2.63845505,-0.07355638,1,1
2020-03-30,60.70075669,61.85792960,60.37635804,61.68604660,167976400,0.02813831,0.03713967,0.12722174,0.04877616,-0.13897815,42.22405181,-3.18764112,-3.54542536,0.35778424,18.93933405,-4.26961671,-0.06092130,0,0
2020-03-31,61.87729411,63.54526580,61.00578147,61.56015778,197002000,-0.00204288,-0.01618832,0.02957272,0.04692611,-0.11658321,44.34516951,-2.91360798,-3.41906188,0.50545391,19.09872444,-2.57506159,-0.05402612,0,0
2020-04-01,59.67431113,60.21174336,57.89013514,58.32104874,176218400,-0.05405180,-0.02795638,-0.01895502,0.04952352,-0.39899136,47.88560383,-2.92409660,-3.32006883,0.39597223,18.98723469,-3.34508734,-0.04485920,1,0
2020-04-02,58.18306300,59.34749836,57.35028493,59.29423904,165934000,0.01654908,-0.03954560,-0.05369104,0.04982605,-0.25739084,38.79088608,-2.82135772,-3.22032661,0.39896888,18.92710068,-3.76041470,-0.03576960,0,0
2020-04-03,58.77859293,59.48064218,57.85140135,58.44209290,129880000,-0.01447575,-0.05197847,-0.02588305,0.04470098,-0.32753697,49.65260538,-2.77668955,-3.13159920,0.35490964,18.68212151,-5.45241130,-0.02179707,1,1
2020-04-06,60.73950451,63.69537876,60.37153567,63.54044724,201820400,0.08364027,0.08571360,0.02961891,0.04980615,0.37238600,53.82718086,-2.30334360,-2.96594808,0.66260447,19.12288875,-1.35286827,-0.00591101,0,0
2020-04-07,65.55701501,65.77489875,62.70039754,62.80449295,202887200,-0.01165005,0.05751446,0.02001174,0.04154663,0.36595438,55.21241808,-1.96494819,-2.76574810,0.80079991,19.12816072,-1.01263315,0.00426320,1,1
2020-04-08,63.60579707,64.72665862,63.24025152,64.41194916,168895200,0.02527255,0.09726276,0.09933609,0.04182376,0.68318757,58.37198365,-1.54920088,-2.52243866,0.97323777,18.94478896,-1.70185428,0.01438499,1,0
2020-04-09,65.04864913,65.38030648,64.08030308,64.87676239,161834800,0.00719035,0.02081284,0.08997736,0.03898578,0.68336664,67.06598397,-1.16873911,-2.25169875,1.08295964,18.90208662,-1.15238728,0.01419650,1,1
2020-04-13,64.95423090,66.25908074,64.35385370,66.15013885,131022800,0.01943748,0.05190037,0.12389059,0.03565271,0.93379437,71.45365105,-0.75575767,-1.95251053,1.19675286,18.69088191,-1.69864691,0.02534839,1,1
2020-04-14,67.78420685,69.78142009,67.31213531,69.49091339,194994800,0.04926901,0.07589684,0.08951933,0.03744161,1.17992303,69.09035630,-0.15708355,-1.59342514,1.43634158,19.08848345,-0.16715419,0.02901307,0,0
2020-04-15,68.36521608,69.31661411,67.93672570,68.85665131,131154400,-0.00916918,0.05953732,0.09200021,0.03780284,0.93170492,68.27274480,0.26315684,-1.22210874,1.48526558,18.69188581,-1.89044102,0.03448362,1,0
2020-04-16,69.57079541,69.76930804,68.35310103,69.40375519,157125200,0.00791415,0.04801399,0.07464181,0.03024046,0.86341311,64.74269880,0.63304969,-0.85107706,1.48412674,18.87255350,-1.07158369,0.04427914,0,0
2020-04-17,68.91959837,69.46671616,67.02405716,68.46205139,215250000,-0.01366138,-0.01491640,0.05379009,0.03180331,0.67187967,69.69664511,0.84051586,-0.51275847,1.35327433,19.18731070,0.52347133,0.05126469,0,0
2020-04-20,67.28792562,68.19090327,67.02162907,67.04099274,130015200,-0.02097533,-0.02672256,0.01337727,0.03251689,0.47013601,62.59679563,0.88012125,-0.23418253,1.11430378,18.68316192,-2.48714726,0.05527996,0,0
2020-04-21,66.88364716,67.11847133,64.25700758,64.96874237,180991600,-0.03139800,-0.06603471,-0.06728973,0.02436095,0.18788272,57.34559566,0.73581352,-0.04018332,0.77599684,19.01396118,0.10456077,0.04868381,1,1
2020-04-22,66.23727989,67.27583298,65.89594444,66.84008026,116862400,0.02839664,-0.02397669,-0.02972392,0.02510717,0.39366538,69.50883143,0.76364709,0.12058276,0.64306433,18.57650773,-2.44183435,0.04919474,0,0
2020-04-23,66.78438352,68.20785294,66.54229708,66.58103180,124814400,-0.00388318,-0.00688454,-0.04152125,0.02433069,0.32045058,67.25122361,0.75608665,0.24768354,0.50840311,18.64233839,-1.63369586,0.04673826,1,1
2020-04-24,67.10636816,68.51288987,67.05794792,68.50320435,126161200,0.02846079,0.05297426,0.00060093,0.02560386,0.53112398,72.67071327,0.89488256,0.37712334,0.51775921,18.65307101,-1.45676347,0.04754134,1,0
2020-04-27,68.21994826,68.88327006,67.77209431,68.55161285,117087600,0.00070641,0.02528403,0.02228267,0.02514707,0.48813074,64.61857412,0.99728934,0.50115654,0.49613280,18.57843293,-1.59369927,0.04432394,0,0
2020-04-28,69.01399918,69.19556401,67.34845068,67.44043732,112004800,-0.01634214,0.01282507,0.03733853,0.01991220,0.30036370,63.23425544,0.97751668,0.59642857,0.38108811,18.53405229,-1.72596556,0.03657972,1,1
2020-04-29,68.92928108,70.12518879,68.72592934,69.65554047,137280800,0.03231745,0.01668172,0.04125934,0.02262056,0.54939545,64.46700381,1.12758887,0.70266063,0.42492824,18.73753902,-0.42904900,0.03140802,1,1
2020-04-30,70.19538887,71.30172578,69.80563321,71.12500000,183064000,0.02087665,0.03685196,0.06601916,0.02340868,0.71266643,66.33335263,1.34953862,0.83203623,0.51750239,19.02534638,1.40013942,0.02404726,0,0
2020-05-01,69.29724155,72.38384357,69.20040845,69.97992706,240616800,-0.01623045,0.03696365,0.02132792,0.02361831,0.51605584,60.07895664,1.41670667,0.94897032,0.46773635,19.29871618,2.65683344,0.01813391,1,1
2020-05-04,70.00414724,71.09837542,69.31419933,70.97006989,133568000,0.01404979,0.01869599,0.03467130,0.02236456,0.71720810,54.44236494,1.53217216,1.06561069,0.46656147,18.71012127,-0.51086743,0.01450557,1,1
2020-05-05,71.43003164,72.86802583,71.28477829,72.03524780,147751200,0.01489731,0.01271666,0.06591075,0.01824522,0.84302328,59.30545199,1.69014738,1.19051802,0.49962935,18.81104034,0.24301926,0.01856623,1,1
2020-05-06,72.73728444,73.41028440,72.35236792,72.77844238,142333600,0.01026424,0.03921135,0.04385755,0.01711572,0.92297510,59.76737273,1.85394237,1.32320289,0.53073948,18.77368416,0.13721644,0.01982167,1,1
2020-05-07,73.40545163,73.87752315,73.10284358,73.53133392,115215200,0.01029184,0.03545339,0.03327273,0.01655286,0.95836835,64.83417956,2.02120396,1.46280311,0.55840086,18.56231224,-1.10356729,0.02316201,1,1
2020-05-08,74.19160870,75.33492052,73.86390578,75.28151703,133838400,0.02352302,0.04407909,0.07302620,0.01600316,1.11625094,73.65843081,2.26883145,1.62400878,0.64482268,18.71214366,0.00869444,0.02525972,1,1
2020-05-11,74.78874828,76.96128290,74.57998649,76.46609497,145946400,0.01561279,0.04942765,0.07458920,0.01579259,1.10744133,84.78155205,2.53148221,1.80550346,0.72597875,18.79874999,0.63547975,0.02901692,0,0
